2026-05-21T08:00:45.713+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3733.37 | STATUS=500 | MSG=injected_s3_failure name=psyduck
2026-05-21T08:01:59.484+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3058.41 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:02:03.224+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3170.27 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:03:29.148+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3467.60 | STATUS=200 | MSG=image_ok name=raichu
2026-05-21T08:03:40.386+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3264.03 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-21T08:03:48.455+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2910.57 | STATUS=200 | MSG=image_ok name=squirtle
2026-05-21T08:05:27.489+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1789.61 | STATUS=200 | MSG=image_ok name=charizard
2026-05-21T08:05:30.916+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3115.05 | STATUS=500 | MSG=injected_s3_failure name=bulbasaur
2026-05-21T08:05:42.633+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2466.29 | STATUS=200 | MSG=image_ok name=mewtwo
2026-05-21T08:06:04.369+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1960.31 | STATUS=200 | MSG=image_ok name=psyduck
2026-05-21T08:06:16.550+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2154.58 | STATUS=200 | MSG=image_ok name=gyarados
2026-05-21T08:06:57.241+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2034.92 | STATUS=200 | MSG=image_ok name=magikarp
2026-05-21T08:07:15.908+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2338.05 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:07:25.677+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3060.62 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-21T08:07:41.477+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3983.35 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:08:01.030+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3772.01 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-21T08:08:19.422+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2793.96 | STATUS=200 | MSG=image_ok name=psyduck
2026-05-21T08:08:22.144+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2056.49 | STATUS=200 | MSG=image_ok name=mewtwo
